Text,entities,entity_types,UniNER
"It specified only the Data-Centric Publish-Subscribe ( DCPS ) portion of the DDS specification ; Additionally , it encompasses the DDS APIs introduced by DDS-XTypes and DDS-CCM .","['Publish-Subscribe', 'APIs']","['Operating_System', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
"+ List of Lode Runner games Title Year released Platforms Developer(s ) Publisher(s ) Comments Lode Runner 1983 Apple II , Atari 8-bit , Commodore 64 , VIC-20 , PC Douglas E . Smith Broderbund The original game published by Broderbund , developed for Apple II , contained 150 levels and level editor.Lode Runner 1984 Macintosh Glenn Axworthy Broderbund Macintosh port Lode Runner 1984 Famicom ( 1984 ) , NES ( 1986 ) Hudson Soft Hudson Soft 50 levels , scrolling screens , added music , graphics redone in a more cartoon-like style , fruits and vegetables randomly appear which may be grabbed for additional points , level editor . Championship Lode Runner 1984 Apple II , Commodore 64 , VIC-20 , ZX Spectrum , Atari 8-bit , SG-1000 , MSX , Famicom , NEC PC Series Broderbund , Compile Corporation ( SG-1000 and MSX versions ) Broderbund , Hudson Soft ( for Famicom ) , SEGA ( for SG-1000 ) , Sony ( for MSX ) A direct sequel with 50 levels edited by fans and intended for expert play .","['Lode Runner', 'Lode Runner', 'Apple II', 'Atari 8-bit', 'VIC-20', 'Apple II', 'Macintosh', 'Macintosh', 'Lode Runner', 'Championship Lode Runner', 'Apple II', 'VIC-20', 'ZX Spectrum', 'Atari 8-bit', 'SG-1000', 'MSX', 'SG-1000', 'MSX', 'SG-1000', 'MSX']","['Application', 'Application', 'Device', 'Device', 'Device', 'Device', 'Device', 'Device', 'Application', 'Application', 'Device', 'Device', 'Operating_System', 'Device', 'Operating_System', 'Operating_System', 'Operating_System', 'Operating_System', 'Operating_System', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]'], 'Device': ['[]']})"
Noorda was motivated in part by a realization that NetWare 's technology was not suitable as the basis for a full-fledged operating system and application platform .,"['NetWare', 'operating system', 'application platform']","['Operating_System', 'General_Concept', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[""NetWare""]'], 'General_Concept': ['[]'], 'Device': ['[]']})"
"Notebook Review said the keyboard had a ‘ "" distinctive ThinkPad feel "" and "" the touchpad and touchpad buttons were smooth and responsive. ""","['Notebook', 'keyboard', 'ThinkPad']","['Device', 'Device', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[""keyboard"", ""touchpad"", ""touchpad buttons""]']})"
"Torvalds assigned version 0 to the kernel to indicate that it was mainly for testing and not intended for productive use . Version 0.11 , released in December 1991 , was the first self-hosted Linux , for it could be compiled by a computer running the same kernel .","['kernel', 'Linux', 'compiled', 'kernel']","['Operating_System', 'Application', 'Language', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""Linux""]'], 'Language': ['[]'], 'Application': ['[]']})"
"The Chicago Tribune named 3 in Three the best brain teaser game of 1990 and said that it surpassed previous Cliff Johnson games "" with superb animation and intricately connected puzzles. """,['3 in Three'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
It is powered by the QNX operating system .,"['QNX', 'operating system']","['Operating_System', 'General_Concept']","defaultdict(<class 'list'>, {'Operating_System': ['[""QNX""]'], 'General_Concept': ['[]']})"
The game was later ported to the PC-98 and FM Towns and was released in Japan in 1995 .,"['PC-98', 'FM Towns']","['Operating_System', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[]']})"
"Both the PSP and Nintendo DS versions received mixed reviews , with the PSP version scoring 67% on Metacritic , and the DS version scoring 57% .","['PSP', 'Nintendo DS', 'PSP', 'DS']","['Operating_System', 'Device', 'Operating_System', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[]']})"
EAS 12.1 came in Exchange Server 2007 SP1 .,['Exchange Server'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[""Exchange Server 2007 SP1""]']})"
"On June 23 , 1993 , Apple preannounced MacApp 's direct successor , the new object-oriented crossplatform SDK codenamed Bedrock .","['MacApp', 'object-oriented', 'Bedrock']","['Operating_System', 'Language', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Language': ['[]']})"
Different ioctls correspond to different functions of the DRM API . A library called libdrm was created to facilitate the interface of user-space programs with the DRM subsystem .,"['ioctls', 'API', 'library', 'user-space']","['Operating_System', 'Application', 'Library', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[""user-space programs""]'], 'Library': ['[""libdrm""]']})"
"Version 10.2 was released in 2011 , including photo email integration with SkyDrive ( now OneDrive ) , the ability to include photos or a photo slideshow with a link so others can download a copy for themselves , and customizable toolbar button groups .","['email', 'OneDrive']","['Operating_System', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[""photo email integration"", ""photo slideshow"", ""customizable toolbar button groups""]']})"
"The typical projects within a data center transformation initiative include standardization/consolidation , virtualization , automation and security .","['data center', 'virtualization', 'automation']","['Operating_System', 'General_Concept', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]'], 'General_Concept': ['[""projects"", ""data center transformation initiative"", ""standardization/consolidation"", ""virtualization"", ""automation"", ""security""]']})"
"A Sega Genesis version of Virtua Fighter Animation was also in development , and scheduled for release in 1997 in North America .","['Sega Genesis', 'Virtua Fighter Animation', '1997']","['Operating_System', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
"From its inception , Workbench offered a highly customizable interface . Workbench 1.0 was released with the first Amiga , the Amiga 1000 , in 1985 .","['Workbench', 'Workbench', 'Amiga', 'Amiga 1000']","['Operating_System', 'Operating_System', 'Device', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[]']})"
"Its removable disk packs hold 100MB ( 404×19× 13,030 bytes ) . A major advance introduced with the 3330 was the use of error correction , which makes the drives more reliable and reduced costs because small imperfections in the disk surface can be tolerated . The 1973 3330 Model 11 features IBM 3336-11 Disk Packs that held up to 200MB ( 808x19x 13,030 bytes ) . Up to three additional 3330 type DASD ( six drives ) can then be attached to a 3333 . However , only a 3340 can serve as head of string ; there are no A model 3344 drives , and a 3344 must be attached to a 3340 A model as head of string . The IBM 3340 Direct Access Storage Facility , code-named Winchester , was introduced in March 1973 for use with IBM System/370 . It uses removable data modules that included the head and arm assembly ; an access door of the data module opens or closes during a mechanical load/unload process to connect the data module to the drive ; unlike previous disk packs and cartridges there is no cover to remove during the insertion process . The 3340 also uses error correction .","['disk packs', 'error correction', 'disk', 'Disk Packs', 'DASD', 'head', 'head', 'IBM System/370', 'head', 'disk packs', 'error correction']","['Operating_System', 'Error_Name', 'Device', 'Operating_System', 'Application', 'Device', 'Device', 'Device', 'Device', 'Operating_System', 'Error_Name']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]'], 'Error_Name': ['[]'], 'Device': ['[""removable disk packs"", ""3330"", ""3330 Model 11"", ""IBM 3336-11 Disk Packs"", ""3330 type DASD"", ""3340"", ""IBM 3340 Direct Access Storage Facility"", ""Winchester"", ""IBM System/370"", ""data modules"", ""head and arm assembly"", ""access door"", ""cartridges""]']})"
"The software does not have a specific interface for cloning virtual machines , unlike VMware Workstation .","['virtual machines', 'VMware Workstation']","['Architecture', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Architecture': ['[]']})"
"Furthermore , on a modern x86 system , BIOS calls can only be performed in Real mode , or Virtual 8086 mode .","['x86', 'BIOS calls', 'Real mode', 'Virtual 8086 mode']","['Operating_System', 'Device', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]'], 'Device': ['[]']})"
"FIFA 21 was released worldwide on 9 October 2020 for Microsoft Windows , PlayStation 4 , Xbox One and Nintendo Switch .","['FIFA 21', 'Microsoft Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Application', 'Application', 'Operating_System', 'Device', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""Microsoft Windows""]'], 'Application': ['[]'], 'Device': ['[]']})"
"Huawei LiteOS is part of Huawei 's ' 1+8+N ' Internet of Things solution , and has been featured in a number of open source development kits and industry offerings .","['LiteOS', 'Internet of Things', 'open source', 'development kits']","['Operating_System', 'Operating_System', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""Huawei LiteOS""]'], 'Application': ['[]']})"
"In the MapReduce framework , these steps are known as InitialReduce ( value on individual record/singleton set ) , Combine ( binary merge on two aggregations ) , and FinalReduce ( final function on auxiliary values ) , and moving decomposable aggregation before the Shuffle phase is known as an InitialReduce step ,",['MapReduce'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
"HandBrake-produced M4V files can also be played on the PlayStation 3 , with full Dolby Digital 5.1 surround support .","['M4V', 'PlayStation 3']","['Application', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
"On August 8 , 2013 , a new installment to the series was released on the Wii U 's eShop , called Art Academy : SketchPad , which gives users the chance to share their creations on Miiverse . On June 25 , 2015 , an installment titled Art Academy : Home Studio or Art Academy : Atelier in PAL regions , was released on the Wii U .","['the Wii', 'eShop', 'Art Academy', 'Art Academy', 'Art Academy', 'the Wii']","['Operating_System', 'Application', 'Application', 'Application', 'Application', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[""Miiverse""]']})"
"The PES Shop is present on all versions of the game , with the exception of the Xbox 360 version .",['the Xbox 360'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
Fatal Fury Special for the Neo Geo was later released on the Virtual Console in 2010 .,"['Fatal Fury Special', 'Neo Geo', 'Virtual Console']","['Application', 'Operating_System', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
@Commands are like menu commands : they perform actions in the Lotus Notes client .,['Lotus Notes'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
"epoll is similar to FreeBSD 's kqueue , in that it consists of a set of user-space functions , each taking a file descriptor argument denoting the configurable kernel object , against which they cooperatively operate .","['epoll', 'FreeBSD', 'kqueue', 'user-space', 'file descriptor', 'kernel']","['Application', 'Operating_System', 'Application', 'Operating_System', 'Application', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""FreeBSD""]'], 'Application': ['[]']})"
The primary structure consists of an application tier responsible for processing logic and maintaining the web application portal ( referred to as Team Web Access or TWA ) .,['tier'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
The PS3 version features a very restrictive DRM protection which circumvents the ability other PSN games have to be shared among several PSN accounts .,['The PS3'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
Active objects can be created on any of the hosts involved in the computation .,['Active objects'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
It was the first motherboard to allow the use of two unmodified Intel Celeron processors in dual Symmetric multiprocessing ( SMP ) configuration .,"['motherboard', 'Symmetric multiprocessing']","['Device', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[]']})"
"The software accepts MOV , AVI , MPG , MP4 , PNG , WMV , FLV , and MP3 standards .","['MOV', 'WMV', 'FLV', 'MP3']","['Application', 'Device', 'Operating_System', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]'], 'Device': ['[]']})"
"In 2010 , while announcing version 2.0 of Microsoft Mediaroom , Microsoft CEO Steve Ballmer mentioned that T 's U-verse IPTV service would enable Xbox 360s to be used as set-top boxes later in the year .","['Microsoft Mediaroom', 'Xbox 360s']","['Application', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
"However , rather than being reserved for other uses within the VM , the physical memory mapped to those pages within the VM is actually unmapped from the VM by the host operating system 's hypervisor , making it available for other uses by the host machine .","['hypervisor', 'host machine']","['Operating_System', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""host operating system""]']})"
The second series of the podcast was distributed through audible.co.uk and was the first major podcast to charge consumers to download the show ( at a rate of 95 pence per half-hour episode ) .,"['podcast', 'audible.co.uk', 'podcast']","['Operating_System', 'Application', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
"The Genesis and Super NES versions are near identical , with totally different soundtracks for each version , and with the Super NES version having the graphical edge .","['Genesis', 'Super NES', 'Super NES']","['Operating_System', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
"It was not simply an 8088-CPU computer that ran a Microsoft DOS as a PC "" work-alike "" , but contained a reverse-engineered BIOS , and a version of MS-DOS that was so similar to IBM 's PC DOS that it ran nearly all its application software . The computer was also an early variation on the idea of an "" all-in-one "" .","['Microsoft DOS', 'BIOS', 'MS-DOS', 'PC DOS', 'application software', 'all-in-one']","['Application', 'Operating_System', 'Application', 'Operating_System', 'Application', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[""Microsoft DOS"", ""IBM \'s PC DOS"", ""MS-DOS""]'], 'Application': ['[""application software""]'], 'Device': ['[]']})"
"We hope the next installment on Dreamcast will be better , but until then , this is satisfactory. """,['Dreamcast'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
"When Exposé was introduced with Mac OS X v10.3 , a corresponding preference pane was added to System Preferences .","['Mac OS X v10.3', 'preference pane', 'System Preferences']","['Operating_System', 'Operating_System', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""Mac OS X""]']})"
"For the 5 - and 15-minute load averages , the same 63% /37 % ratio is computed over 5 minutes and 15 minutes respectively .",['load averages'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
"With DELWATCH 2.00 and higher under Novell DOS 7 , OpenDOS 7.01 and DR-DOS 7.02 and higher , this entry is used to store the last modified time stamp for pending delete files and directories .","['Novell DOS', 'OpenDOS', 'DR-DOS', 'directories']","['Operating_System', 'Application', 'Application', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[""Novell DOS 7"", ""OpenDOS 7.01"", ""DR-DOS 7.02""]'], 'Application': ['[""DELWATCH 2.00""]']})"
The latest version of GTK for OpenVMS is version 1.2.10 .,"['GTK', 'OpenVMS']","['Application', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""OpenVMS""]'], 'Application': ['[]']})"
"KPTI was merged into Linux kernel version 4.15 , and backported to Linux kernels 4.14.11 , 4.9.75 , and 4.4.110 .","['KPTI', 'Linux kernel', 'Linux kernels']","['Application', 'Operating_System', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""Linux kernel"", ""Linux kernels""]'], 'Application': ['[]']})"
"There were a number of issues following the release of iOS 13 , some relating to battery drain , call-dropping , and ringtones not functioning properly , resulting in frequent software updates and patches .",['iOS 13'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[""iOS 13""]']})"
"Sega released the Dreamcast in Europe on October 14 , 1999 , at a price of £200 .",['the Dreamcast'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
"In 2021 , the x86-64 port was demonstrated running on an Intel Atom-based single-board computer . As with the Alpha and Itanium ports , the x86-64 port made some changes to simplify porting and supporting OpenVMS on the new platform including : replacing the proprietary GEM compiler backend used by the VMS compilers with LLVM , changing the boot process so that OpenVMS is booted from a memory disk , and simulating the four privilege levels of OpenVMS in software since only two of x86-64 ' s privilege levels are usable by OpenVMS .","['x86-64', 'single-board computer', 'Alpha', 'Itanium', 'x86-64', 'OpenVMS', 'proprietary', 'VMS', 'LLVM', 'OpenVMS', 'privilege levels', 'OpenVMS', 'x86-64', 'privilege levels', 'OpenVMS']","['Device', 'Device', 'Device', 'General_Concept', 'Device', 'Operating_System', 'Application', 'Operating_System', 'Application', 'Operating_System', 'Operating_System', 'Operating_System', 'Device', 'Operating_System', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[""OpenVMS""]'], 'Application': ['[]'], 'General_Concept': ['[]'], 'Device': ['[]']})"
"When used on multiple machines , locally installed server generates combined reports , which are accessible with a web browser or sent by email.Microsoft Office , JIRA , Moves app , Google calendar , FreshBooks , QuickBooks , SkypeSQLite , PostgreSQL , Microsoft SQL ServerFree or license-based Redmine Web application2006 Project management and issue tracking with time tracking , forums , wikis , and project flows .","['JIRA', 'Google calendar', 'FreshBooks', 'QuickBooks', 'PostgreSQL', 'Microsoft SQL', 'Redmine']","['Protocol', 'Application', 'Application', 'Application', 'Application', 'Application', 'Operating_System']","defaultdict(<class 'list'>, {'Protocol': ['[]'], 'Operating_System': ['[]'], 'Application': ['[""Microsoft Office"", ""JIRA"", ""Moves app"", ""Google calendar"", ""FreshBooks"", ""QuickBooks"", ""SkypeSQLite"", ""PostgreSQL"", ""Microsoft SQL ServerFree"", ""Redmine Web application""]']})"
"Usually a HPCC environment includes only Thor clusters , or both Thor and Roxie clusters , although Roxie occasionally is used to build its own indexes .","['HPCC', 'Thor', 'Thor']","['Operating_System', 'Algorithm', 'Algorithm']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Algorithm': ['[]']})"
"McAfee VirusScan is an antivirus software created and maintained by McAfee ( formerly known as Intel Security , and Network Associates prior to that ) .","['McAfee VirusScan', 'antivirus software']","['Operating_System', 'Application']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]']})"
"- stackless coroutine based on C++ preprocessor tricks , providing await/yield emulation .","['stackless', 'coroutine', 'C++', 'preprocessor']","['Operating_System', 'Architecture', 'Language', 'General_Concept']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Language': ['[""C++""]'], 'General_Concept': ['[]'], 'Architecture': ['[]']})"
"Released on October 24 , 2013 for the PlayStation 3 , PlayStation Portable and PlayStation Vita .","['PlayStation 3', 'PlayStation Portable', 'PlayStation Vita']","['Operating_System', 'Operating_System', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[]']})"
"In May 2018 , a Lima developer posted the driver for inclusion in the Linux kernel .",['Linux kernel'],['Operating_System'],"defaultdict(<class 'list'>, {'Operating_System': ['[""Linux kernel""]']})"
"For example , if a host system uses x86 and a target system uses MIPS32 , the regular compilation toolchain of the host runs on x86 and generates code for x86 architecture , while the cross-compilation toolchain runs on x86 and generates code for the MIPS32 architecture .","['x86', 'toolchain', 'x86', 'x86 architecture', 'cross-compilation', 'toolchain', 'x86']","['Operating_System', 'General_Concept', 'Operating_System', 'Operating_System', 'Application', 'General_Concept', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Application': ['[]'], 'General_Concept': ['[]']})"
"Old Blu-ray players and recorders cannot utilize BD-R LTH ; however , a firmware upgrade can enable devices to access BD-R LTH .","['BD-R', 'BD-R']","['Operating_System', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]']})"
"Although the Oric Atmos had not turned around Oric International 's fortunes , in February 1985 , they announced several models including the Oric Stratos/IQ164 .","['Oric', 'Oric', 'Oric']","['Device', 'Device', 'Device']","defaultdict(<class 'list'>, {'Device': ['[]']})"
"MareNostrum 4 has a disk storage capacity of 14 petabytes and is connected to BSC ’s big data facilities , which have a total capacity of 24.6 petabytes .",['MareNostrum'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[]']})"
"There was also an official 32-bit HPFS IFS , called HPFS386 that improved performance and added some features , like variable size cache and Access Control Lists , and was available only in certain OS/2 server editions .","['HPFS', 'IFS', 'HPFS386', 'OS/2']","['Application', 'Device', 'Application', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Device': ['[]']})"
"Neighborhood Games offers players 24 versions of neighborhood games , including football , basketball , baseball , golf , tennis , lawn darts , horseshoes , and bocce .","['Neighborhood Games', 'neighborhood games', 'basketball', 'baseball', 'golf', 'tennis']","['Application', 'Application', 'Application', 'Application', 'Application', 'Device']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Device': ['[]']})"
"Disk memory is used to store the operating system , object code , and data , but source code is kept on punched cards .","['Disk memory', 'operating system', 'punched cards']","['Device', 'General_Concept', 'Architecture']","defaultdict(<class 'list'>, {'General_Concept': ['[]'], 'Architecture': ['[]'], 'Device': ['[]']})"
"In 1999 , Cadillac was also released for the PlayStation .","['Cadillac', 'PlayStation']","['Application', 'Device']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Device': ['[]']})"
"On April 23 , 2007 , Chair Entertainment announced through a company press release that Undertow was in development for Xbox Live Arcade .","['Undertow', 'Xbox Live Arcade']","['Application', 'Device']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Device': ['[]']})"
"Rockwell-ANITA 811 SL - 1974 , IC logic , 10-key keyboard , 8-digit "" Panaplex II "" display , % , memory . Rockwell-ANITA 1041 - 1975 , IC logic , 10-key keyboard , 16-digit "" Panaplex II "" ( 10 digits mantissa , 2 digits exponent ) , scientific functions , memory . Rockwell-ANITA 1211 - date unknown , IC logic , 10-key keyboard , 12-digit "" Panaplex II "" display , % , memory . Rockwell-ANITA 1211 SL - 1974 , IC logic , 10-key keyboard , 12-digit "" Panaplex II "" display , % , memory . Rockwell-ANITA 1211P - 1973 , IC logic , 10-key keyboard , printer . Rockwell-ANITA 1216 - c1973 , IC logic , 10-key keyboard , 12-digit "" Panaplex "" -type display , % , memory , made in the US , Rockwell-ANITA 1432 - details unknown . ANITA 810 - date unknown , 8-digit red LED display .",['ANITA'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[""printer""]']})"
An online petition has urged smartphone makers to install kill switches in their devices .,"['smartphone', 'kill switches']","['Application', 'Device']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Device': ['[""smartphone""]']})"
"The New York Times technology columnist David Pogue described the Nexus Q as being a "" baffling "" device , stating that it was "" wildly overbuilt for its incredibly limited functions , and far too expensive "" , and arguing that it would probably appeal only to people "" whose living rooms are dominated by bowling ball collections. """,['Nexus Q'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[""Nexus Q""]']})"
"They would release their titles mainly for ZX Spectrum , Amstrad CPC , Commodore 64 , MSX , IBM PC , Amstrad PCW , and in the last years also Atari ST and Amiga .","['ZX Spectrum', 'Amstrad CPC', 'MSX', 'IBM PC', 'Amstrad PCW', 'Atari ST', 'Amiga']","['Operating_System', 'Device', 'Operating_System', 'Device', 'Device', 'Device', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[]']})"
"The family , which would have come in the Glaze3D 1200 , Glaze3D 2400 and Glaze3D 4800 models , was supposed to offer full support for DirectX 7 , OpenGL 1.2 , AGP 4× , 4× anisotropic filtering , full-screen anti-aliasing and a host of other technologies not commonly seen at the time .","['Glaze3D', 'Glaze3D', 'Glaze3D', 'DirectX 7', 'OpenGL', 'AGP']","['Device', 'Device', 'Device', 'Application', 'Application', 'Architecture']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Architecture': ['[]'], 'Device': ['[]']})"
"The retail game was released for the PlayStation 2 on November 7 , 2006 , in North America , November 15 , 2006 in Australia , and November 24 , 2006 , in Europe .","['PlayStation 2', '2006', '2006', '2006']","['Device', 'Application', 'Application', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Device': ['[]']})"
"The "" open "" ( hollow ) and separate "" closed "" ( solid ) Apple logo keys on the Apple II series , served functions similar to that of the Command key . The open-Apple key was combined with the Command key on Apple Desktop Bus keyboards ( which were used on both the Apple IIgs and several years of Macintosh models ) where it remained after the Apple II line was discontinued .","['Apple II series', 'Command key', 'open-Apple key', 'Command key', 'Apple Desktop Bus', 'keyboards', 'Apple IIgs', 'Macintosh', 'Apple II']","['Device', 'Device', 'Device', 'Device', 'Device', 'Device', 'Device', 'Device', 'Device']","defaultdict(<class 'list'>, {'Device': ['[]']})"
PTS-DOS only supports the timeout value . Globally or locally enables or disables CONFIG.SYS ( and AUTOEXEC.BAT ) single-stepping execution .,"['PTS-DOS', 'CONFIG.SYS']","['Operating_System', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[""PTS-DOS""]'], 'Device': ['[]']})"
") , also mobile devices like the Pandora .",['Pandora'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[""Pandora""]']})"
"Since installing Magic Lantern does not replace the stock Canon firmware or modify the ROM but rather runs alongside it , it is both easy to remove and carries little risk .","['Magic Lantern', 'firmware']","['Device', 'Application']","defaultdict(<class 'list'>, {'Application': ['[]'], 'Device': ['[]']})"
Sudoku Gridmaster ( known as Puzzle Series Vol .,"['Sudoku Gridmaster', 'Puzzle Series']","['Device', 'Application']","defaultdict(<class 'list'>, {'Application': ['[""Sudoku Gridmaster""]'], 'Device': ['[]']})"
"Reviewing the Sega CD version , GamePro remarked that "" This frisky first-person blast-a-thon looks and feels like a bad live-action movie .",['Sega CD'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[]']})"
These games are Xbox One and backwards compatible Xbox 360 and Xbox games that are enhanced by console-specific updates/patches when played on an Xbox One X .,"['Xbox One', 'Xbox 360 and Xbox', 'Xbox One']","['Device', 'Device', 'Device']","defaultdict(<class 'list'>, {'Device': ['[]']})"
"It described Lisa as having a 68000 and 128KB RAM , and "" designed to compete with the new Xerox Star at a considerably lower price "" .","['Lisa', '68000', 'RAM', 'Xerox Star']","['Device', 'Device', 'Architecture', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Architecture': ['[]'], 'Device': ['[]']})"
"Also library can read images from embedded pdf documents.more than 60 barcode typesVSBarcodeReader Vision Smarts SPRL Proprietary , Royalty-freeReadObjective-C , Swift , Java , KotliniOS , Android , Xamarin , Cordova , IonicVision Smarts Barcode Scanner SDK reads barcodes using the camera of the mobile device .","['Proprietary', 'Swift', 'Java', 'Android', 'Xamarin', 'Cordova', 'Barcode Scanner', 'camera']","['Application', 'Application', 'Device', 'Application', 'Application', 'Protocol', 'Device', 'Device']","defaultdict(<class 'list'>, {'Protocol': ['[]'], 'Application': ['[]'], 'Device': ['[""camera""]']})"
"It was manufactured on a 250nm process , like Savage 3D .",['Savage 3D'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[]']})"
A similar effect was used in Apple 's Newton OS .,['Newton OS'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[]']})"
"FreeBSD ) , and BeOS 5 , which only works on the Award SiS 497 motherboard .","['FreeBSD', 'BeOS 5']","['Operating_System', 'Device']","defaultdict(<class 'list'>, {'Operating_System': ['[""FreeBSD"", ""BeOS 5""]'], 'Device': ['[]']})"
"Electricity was sent wirelessly to a lamp on stage , lighting a 60 watt light bulb that uses more power than a typical laptop computer .",['laptop computer'],['Device'],"defaultdict(<class 'list'>, {'Device': ['[""laptop computer""]']})"
"This list contains general information about graphics processing units ( GPUs ) and video cards from Nvidia , based on official specifications .","['graphics processing units', 'GPUs', 'video cards']","['Architecture', 'Architecture', 'Device']","defaultdict(<class 'list'>, {'Architecture': ['[]'], 'Device': ['[]']})"
"In DOS , the caller 's current directory can be directly altered by the batch file 's use of this command .","['DOS', 'current directory', 'command']","['Device', 'Application', 'Application']","defaultdict(<class 'list'>, {'Application': ['[""batch file""]'], 'Device': ['[]']})"
Cable operators complained about the high cost of the computer needed to run the service as well as the cost of the in-home PlayCable adapters ; the adapters proved to be inadequate to run the larger Intellivision games being produced .,"['PlayCable', 'Intellivision']","['Device', 'Operating_System']","defaultdict(<class 'list'>, {'Operating_System': ['[]'], 'Device': ['[""computer"", ""PlayCable adapters""]']})"
